numero,phase,livrable,priorite,branche_pr,depend_de,prompt
1,0,Module Auth API,Critique,feature/auth-api,,"Implémenter module auth NestJS: POST /api/auth/login, register, refresh, logout. bcrypt, users, user_sessions, JWT. Critères: admin@africatourismgate.local / ChangeMe123! OK."
2,0,JWT & guards NestJS,Critique,feature/api-jwt-guards,1,"JwtAuthGuard, JwtRefreshGuard, @Public(), @CurrentUser(). Protéger tous les contrôleurs sauf /health et auth. Critères: GET /api/users sans token → 401."
3,0,DTOs auth & validation,Haute,feature/auth-dtos-validation,1,"LoginDto, RegisterDto, RefreshTokenDto class-validator, messages FR. Optionnel throttler login. Critères: body invalide → 400."
4,0,Client API typé,Haute,feature/api-client-auth,1,"Étendre packages/api-client: login, register, refresh, logout, Authorization header. Critères: utilisable depuis apps/admin."
5,0,Connexion admin → API,Critique,feature/admin-login-api,"1,4","Brancher admin-login-form.tsx sur POST /api/auth/login. Loading, erreurs FR, redirect /dashboard. Critères: seed admin connecte."
6,0,Inscription admin → API,Haute,feature/admin-register-api,"1,5","Brancher register form, rôle org_admin, org seed. Critères: nouveau compte login OK, email dupliqué → 409."
7,0,Session & middleware admin,Critique,feature/admin-auth-middleware,5,"Middleware Next.js: protéger dashboard, redirect login/dashboard, refresh silencieux. Critères: route protégée sans session → login."
8,0,Mot de passe oublié,Moyenne,feature/auth-password-reset,1,"API forgot-password + reset-password, pages admin. Dev: log lien console. Critères: reset token valide OK."
9,0,RBAC sur endpoints,Haute,feature/api-rbac-enforcement,2,"PermissionsGuard + @RequirePermissions. users, organizations, bookings, payments. super_admin bypass. Critères: sans permission → 403."
10,1,Shell dashboard admin,Critique,feature/admin-dashboard-shell,7,"Layout dashboard: sidebar, header, logout, nav principale. Critères: navigation et logout OK."
11,1,Page tableau de bord,Haute,feature/admin-dashboard-home,10,"Page /dashboard KPIs users, bookings, revenus, properties via API. Critères: chiffres cohérents seed."
12,1,CRUD Organisations,Haute,feature/admin-organizations,"10,9","Liste + CRUD organizations, pagination, permissions. Critères: slug unique."
13,1,CRUD Utilisateurs,Haute,feature/admin-users,"10,9","Admin users: liste, filtres, soft delete, jamais password_hash. Critères: statuts active/suspended."
14,1,CRUD Employés,Moyenne,feature/admin-employees,13,"UI employees liée users et organizations. Critères: liste par org."
15,1,Gestion rôles & permissions,Haute,feature/admin-rbac-ui,"10,9","Écrans roles, permissions, assignments, matrice checkboxes. Critères: assigner rôle user."
16,1,Journal audit RBAC,Basse,feature/admin-rbac-audit-logs,15,"Page lecture rbac_audit_logs paginée. Critères: visible super_admin."
17,1,Paramètres organisation,Moyenne,feature/admin-org-settings,12,"organization_settings + bank_accounts, masquer IBAN. Critères: sauvegarde OK."
18,2,Destinations (admin),Haute,feature/admin-destinations,10,"CRUD destinations + points_of_interest. Critères: POI liés."
